ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
BHANDARI.NS,Apparel Manufacturing,1193043712.0,0.057117989149255255,0.019247979045488726
BHARATFORG.NS,Auto Parts,595892961280.0,0.15176024260362575,0.06879264944201628
BHARATGEAR.NS,Auto Parts,1190173824.0,0.09511357276488175,0.005894822294925816
BHARATRAS.NS,Agricultural Inputs,39524159488.0,-0.011147978351061627,0.11998303485473165
BHARATSE.NS,Auto Parts,6685683200.0,0.2485567243778979,0.01686537692119147
BHARATWIRE.NS,Steel,12483709952.0,0.3576671826783744,0.06117452942907566
BHARTIARTL.NS,Telecom Services,10907711176704.0,0.14232944492040445,-0.0009094971162293408
BHEL.NS,Specialty Industrial Machinery,835110305792.0,0.12042535123701614,-0.02646754953126678
BIGBLOC.NS,Building Products & Equipment,9679551488.0,0.3318013051275752,0.09813694799909857
BIKAJI.NS,Packaged Foods,176868524032.0,0.1953661325822107,0.07655158679607829
BIL.NS,Footwear & Accessories,9309853696.0,0.12329501390770292,0.010569977358739359
BINANIIND.NS,Specialty Chemicals,519361376.0,,
BIOCON.NS,Biotechnology,405183922176.0,0.23326172823508373,0.06561602136990101
BIOFILCHEM.NS,Drug Manufacturers - Specialty & Generic,739481472.0,0.038454311868354685,0.025574947361195234
BIRLACABLE.NS,Communication Equipment,4686899712.0,0.27390058130783124,0.035447233901931455
BIRLACORPN.NS,Building Materials,106251485184.0,0.07288659503616146,0.03341981658980101
BIRLAMONEY.NS,Capital Markets,8854991872.0,0.2486688509911601,0.14413620974555424
BIRLANU.NS,Building Products & Equipment,17409675264.0,0.03429851113276494,0.04601524583817411
BLBLIMITED.NS,Capital Markets,797208704.0,-0.16674933523919577,0.016281431086236593
BLISSGVS.NS,Drug Manufacturers - Specialty & Generic,12547591168.0,0.1043351583439247,0.0835344498488006
BLKASHYAP.NS,Engineering & Construction,14836202496.0,0.16979421842153375,0.006238847592803946
BLS.NS,Specialty Business Services,156007120896.0,0.5190563828806183,0.13870623544328523
BLSE.NS,Specialty Business Services,14295360512.0,0.6720964541143828,0.0715697181634713
BLUECHIP.NS,Capital Markets,328507904.0,3.8660744468161985,-91.0108286147636
BLUECOAST.NS,Lodging,383434816.0,,
BLUEDART.NS,Integrated Freight & Logistics,164374315008.0,0.17011242387396064,0.06160046324562219
BLUEJET.NS,Biotechnology,133646434304.0,0.1273805830366983,0.24987254261478553
BLUESTARCO.NS,Building Products & Equipment,320533233664.0,0.25882072199119466,0.04272523650707566
BODALCHEM.NS,Specialty Chemicals,8967212032.0,0.03735878333729814,0.028766239463783823
BOHRAIND.NS,Agricultural Inputs,308296864.0,,
BOMDYEING.NS,Textile Manufacturing,28402810880.0,-0.06677083638892645,0.40594100098843733
BOROLTD.NS,"Furnishings, Fixtures & Appliances",40610656256.0,0.17235949131957629,0.07788747343309227
BORORENEW.NS,Solar,73150332928.0,0.320795609150339,0.06383172119994779
BOSCHLTD.NS,Auto Parts,926984241152.0,0.1997945571739168,0.10148437523241474
BPCL.NS,Oil & Gas Refining & Marketing,1355784257536.0,0.08405352963974666,0.03215121227457258
BPL.NS,Consumer Electronics,3698264832.0,0.1492894724879852,0.03639685875552456
BRIGADE.NS,Real Estate - Development,266906370048.0,0.3585631969481251,0.04578723593454474
BRITANNIA.NS,Packaged Foods,1320920154112.0,0.07935922613169355,0.127042265235269
BRNL.NS,Infrastructure Operations,2061180160.0,0.21921472340025128,-0.805357743715982
BROOKS.NS,Drug Manufacturers - Specialty & Generic,3976731648.0,0.00845800638096228,-0.2620492568156028
BSE.NS,Financial Data & Stock Exchanges,994607497216.0,0.40482408103720546,0.36545149996113613
BSHSL.NS,Agricultural Inputs,14212667392.0,0.14450565692102502,0.06218615362651664
BSL.NS,Textile Manufacturing,1520981248.0,0.2728834065341206,0.020961313184258354
BSOFT.NS,Information Technology Services,117598748672.0,0.140734529010472,0.09745357431355985
BTML.NS,Entertainment,995931200.0,0.21493592437725662,0.06347386795677194
BUTTERFLY.NS,"Furnishings, Fixtures & Appliances",13686834176.0,0.02035021947385185,0.029050382772910284
BVCL.NS,Building Materials,826789632.0,0.17603739445661026,0.012561514554211417
BYKE.NS,Lodging,4759507456.0,0.08525890663787239,-0.0820267706811807
CALSOFT.NS,Software - Application,362468832.0,0.43285993273596257,0.19464166957991796
CAMLINFINE.NS,Specialty Chemicals,34398937088.0,0.10844911701037518,0.014936378922543528
